;degree;cohort;gender;school;test;total_cfu;total_cfu_g;avg_g;math_course_g;math_course_d;EsitoTest
457;CdS4;2014;F;LC;15.0;39;36;24;19;2016-02-08;1
458;CdS4;2014;M;IT;6.0;15;12;23;0;0000-00-00;0
459;CdS4;2014;M;LS;18.0;63;60;27;28;2015-01-15;1
460;CdS4;2014;M;LS;9.0;24;24;23;23;2015-02-26;0
461;CdS4;2014;M;LS;12.0;39;36;22;20;2015-01-15;1
462;CdS4;2014;M;AL;9.0;27;24;24;24;2015-02-26;0
463;CdS4;2014;M;LS;8.0;12;12;20;0;0000-00-00;0
464;CdS4;2014;M;LS;17.0;27;24;23;19;2015-02-05;1
465;CdS4;2014;M;LS;14.0;39;36;23;18;2015-01-15;1
466;CdS4;2014;F;AL;7.0;24;24;18;0;0000-00-00;0
467;CdS4;2014;M;TC;13.0;51;48;23;20;2015-02-05;1
468;CdS4;2014;M;LS;16.0;27;24;27;18;2016-01-19;1
469;CdS4;2014;F;LL;10.0;12;12;22;0;0000-00-00;0
470;CdS4;2014;F;LS;9.0;24;24;27;18;2016-02-08;0
471;CdS4;2014;M;IT;18.0;51;48;22;18;2015-02-26;1
472;CdS4;2014;M;LS;10.0;39;36;24;19;2016-01-19;0
473;CdS4;2014;F;AL;8.0;15;12;28;0;0000-00-00;0
474;CdS4;2014;F;LS;16.0;63;60;27;26;2015-01-15;1
475;CdS4;2015;M;LS;16.0;63;60;28;24;2016-02-24;1
476;CdS4;2015;M;LS;17.0;39;36;22;18;2016-06-20;1
477;CdS4;2015;F;IT;8.0;24;24;24;0;0000-00-00;0
478;CdS4;2015;M;LS;15.0;39;36;26;30;2016-07-11;1
479;CdS4;2015;M;LS;19.0;60;60;23;23;2016-01-19;1
480;CdS4;2015;M;IT;11.0;48;48;25;20;2016-01-19;0
481;CdS4;2015;F;LS;19.0;27;24;27;20;2018-02-22;1
482;CdS4;2015;M;LS;15.0;39;36;23;0;0000-00-00;1
483;CdS4;2015;M;LS;19.0;36;36;23;18;2016-09-06;1
484;CdS4;2015;M;IT;8.0;24;24;24;19;2017-01-19;0
485;CdS4;2015;M;LS;18.0;51;48;27;0;0000-00-00;1
486;CdS4;2015;M;LS;12.0;51;48;23;0;0000-00-00;1
487;CdS4;2015;M;LS;23.0;63;60;29;30;2016-01-19;1
488;CdS4;2015;F;LS;14.0;51;48;26;0;0000-00-00;1
489;CdS4;2015;M;LS;18.0;48;48;25;0;0000-00-00;1
490;CdS4;2015;F;LS;21.0;48;48;26;22;2016-02-24;1
491;CdS4;2015;F;LC;10.0;39;36;20;18;2016-02-24;0
492;CdS4;2015;M;IT;15.0;39;36;27;18;2018-02-22;1
493;CdS4;2015;M;LS;21.0;51;48;24;20;2016-07-11;1
494;CdS4;2015;M;LS;20.0;24;24;25;24;2016-01-19;1
495;CdS4;2015;M;IT;17.0;51;48;25;0;0000-00-00;1
496;CdS4;2015;F;LS;10.0;36;36;23;19;2016-07-11;0
497;CdS4;2015;M;IT;14.0;36;36;23;0;0000-00-00;1
498;CdS4;2015;M;IT;15.0;24;24;25;0;0000-00-00;1
499;CdS4;2015;F;LS;10.0;12;12;24;0;0000-00-00;0
500;CdS4;2015;M;LS;15.0;63;60;24;22;2016-06-20;1
501;CdS4;2015;F;IA;11.0;3;0;0;0;0000-00-00;0
502;CdS4;2016;F;LS;1.75;27;24;23;0;0000-00-00;0
503;CdS4;2016;F;LC;4.75;27;24;27;0;0000-00-00;0
504;CdS4;2016;M;LS;7.75;15;12;25;0;0000-00-00;0
505;CdS4;2016;F;LS;-1.5;24;24;22;0;0000-00-00;0
506;CdS4;2016;M;LS;12.75;24;24;25;0;0000-00-00;1
507;CdS4;2016;M;IT;-0.75;27;24;26;0;0000-00-00;0
508;CdS4;2016;M;LS;5.0;51;48;22;19;2017-01-19;0
509;CdS4;2016;F;AL;0.75;24;24;24;0;0000-00-00;0
510;CdS4;2016;F;LS;7.75;39;36;25;0;0000-00-00;0
511;CdS4;2016;M;TC;3.75;12;12;24;0;0000-00-00;0
512;CdS4;2016;F;AL;2.0;27;24;22;0;0000-00-00;0
513;CdS4;2016;M;LS;8.25;36;36;20;18;2017-02-23;1
514;CdS4;2016;M;TC;-1.25;24;24;24;0;0000-00-00;0
515;CdS4;2016;M;LS;1.5;12;12;24;0;0000-00-00;0
516;CdS4;2016;F;IT;6.75;27;24;22;20;2017-01-19;0
517;CdS4;2016;M;IT;10.5;63;60;25;20;2017-01-19;1
518;CdS4;2016;M;AL;2.25;12;12;25;0;0000-00-00;0
519;CdS4;2016;M;LS;9.75;63;60;26;25;2017-02-23;1
520;CdS4;2016;M;TC;1.5;12;12;23;0;0000-00-00;0
521;CdS4;2016;M;LS;6.0;24;24;23;0;0000-00-00;0
522;CdS4;2016;F;LL;7.25;63;60;25;20;2017-02-02;0
523;CdS4;2016;F;LS;-1.25;27;24;26;0;0000-00-00;0
524;CdS4;2016;M;IT;6.5;39;36;22;0;0000-00-00;0
525;CdS4;2016;M;LS;8.5;36;36;22;18;2017-01-19;1
526;CdS4;2016;F;LL;5.25;36;36;24;0;0000-00-00;0
527;CdS4;2016;F;LL;5.5;27;24;28;0;0000-00-00;0
528;CdS4;2016;M;IT;8.25;39;36;23;19;2017-02-23;1
529;CdS4;2016;M;LS;3.75;48;48;21;18;2017-02-02;0
530;CdS4;2016;M;IT;3.75;12;12;26;0;0000-00-00;0
531;CdS4;2016;F;LL;1.25;51;48;23;20;2017-02-02;0
